Student_ID,Age,Gender,Study_Hours,Attendance,Assignment_Score,Exam_Score,Final_Grade
1,20,Male,3,90,85,88,A
2,21,Female,4,95,90,92,A
3,19,Male,2,80,70,75,B
4,22,Female,5,98,95,96,A
5,20,Male,1,70,60,65,C
6,21,Female,3,85,80,82,B
7,23,Male,4,92,88,90,A
8,20,Female,2,78,72,74,B
9,19,Male,5,99,97,98,A
10,22,Female,1,65,55,60,C
11,20,Male,3,88,84,86,B
12,21,Female,4,93,89,91,A
13,19,Male,2,76,68,72,C
14,22,Female,5,97,96,95,A
15,20,Male,3,87,82,84,B
16,21,Female,4,91,87,89,A
17,23,Male,2,79,73,76,B
18,20,Female,5,100,98,99,A
19,19,Male,1,68,58,62,C
20,22,Female,4,94,90,93,A
21,20,Male,3,86,81,83,B
22,21,Female,2,82,75,78,B
23,19,Male,5,96,94,97,A
24,22,Female,1,72,65,67,C
25,20,Male,4,89,85,88,A
26,21,Female,3,84,79,81,B
27,23,Male,2,77,71,73,C
28,20,Female,5,98,97,98,A
29,19,Male,3,83,78,80,B
30,22,Female,4,95,92,94,A
